CMO
Value of k	Execution time (usec)
128	998813|5243
256	1818259|11604
512	3608546|8227
1024	null|null
2048	null|null

Scan (Baseline)
Value of k	Execution time (usec)
128	32919011|85893
256	68253773|178831
512	145907052|351311
1024	462102602|1051331
2048	2288815614|6132311

